Time (min)	T7RNAP (uM)	NTP (mM)	MgOAc (mM)	RNA Yield (uM)	Std Dev RNA Yield	Ppi Conc (mM)	Ppi Std Dev
0	0.05	0.8	8	0	1	0.05	0.08
5	0.05	0.8	8	0.66	0.09	0.53	0.06
15	0.05	0.8	8	1.19	0.24	0.98	0.14
30	0.05	0.8	8	1.66	0.44	1.28	0.29
45	0.05	0.8	8	2	0.22	1.57	0.06
60	0.05	0.8	8	2.06	0.23	1.26	0.26
75	0.05	0.8	8	2.1	0.16	0.67	0.07
90	0.05	0.8	8	2.1	0.09	0.48	0.08
105	0.05	0.8	8	2.11	0.09	0.35	0.1
120	0.05	0.8	8	2.1	0.1	0.21	0.13
0	0.1	0.8	8	0	1	0.05	0.05
5	0.1	0.8	8	1.04	0.18	0.63	0.03
15	0.1	0.8	8	1.71	0.24	1.11	0.08
30	0.1	0.8	8	2.37	0.26	1.63	0.09
45	0.1	0.8	8	2.34	0.11	1.22	0.19
60	0.1	0.8	8	2.39	0.28	0.5	0.04
75	0.1	0.8	8	2.45	0.19	0.28	0.07
90	0.1	0.8	8	2.4	0.21	0.21	0.07
105	0.1	0.8	8	2.44	0.24	0.13	0.06
120	0.1	0.8	8	2.49	0.18	0.06	0.04
0	0.2	0.8	8	0	1	0.05	0.06
5	0.2	0.8	8	1.5	0.07	1.11	0.1
15	0.2	0.8	8	2.66	0.07	2.04	0.1
30	0.2	0.8	8	2.92	0.15	0.72	0.14
45	0.2	0.8	8	2.77	0.13	0.17	0.07
60	0.2	0.8	8	2.86	0.1	0.14	0.07
75	0.2	0.8	8	2.74	0.12	0.2	0.14
90	0.2	0.8	8	2.83	0.08	0.18	0.1
105	0.2	0.8	8	2.74	0.17	0.1	0.12
120	0.2	0.8	8	2.77	0.05	0.07	0.12
0	0.4	0.8	8	0	1	0.05	0.07
5	0.4	0.8	8	1.9	0.16	1.42	0.06
15	0.4	0.8	8	3.04	0.08	2.07	0.11
30	0.4	0.8	8	3.08	0.09	0.4	0.15
45	0.4	0.8	8	3	0.09	0.12	0.07
60	0.4	0.8	8	3.01	0.08	0.09	0.09
75	0.4	0.8	8	3.05	0.11	0.11	0.1
90	0.4	0.8	8	3.03	0.09	0.12	0.11
105	0.4	0.8	8	3.06	0.11	0.23	0.19
120	0.4	0.8	8	2.99	0.06	0.07	0.14
0	0.8	0.8	8	0	1	0.05	0.08
5	0.8	0.8	8	2.3	0.09	1.79	0.08
15	0.8	0.8	8	3.09	0.09	1.7	0.07
30	0.8	0.8	8	3.17	0.11	0.32	0.08
45	0.8	0.8	8	3.1	0.14	0.05	0.07
60	0.8	0.8	8	3.15	0.14	0.08	0.09
75	0.8	0.8	8	3.09	0.11	0.1	0.08
90	0.8	0.8	8	2.93	0.12	0.14	0.13
105	0.8	0.8	8	3.12	0.14	0.14	0.13
120	0.8	0.8	8	3.13	0.09	0.16	0.18
0	0.1	0.4	8	0	0.09	0.08	0.07
5	0.1	0.4	8	0.64	0.08	0.56	0.06
15	0.1	0.4	8	1.21	0.09	0.96	0.23
30	0.1	0.4	8	1.54	0.09	1.22	0.09
45	0.1	0.4	8	1.7	0.2	1.33	0.29
60	0.1	0.4	8	1.68	0.09	1.3	0.09
75	0.1	0.4	8	1.54	0.08	1.23	0.13
90	0.1	0.4	8	1.67	0.19	0.9	0.09
105	0.1	0.4	8	1.66	0.11	0.67	0.09
120	0.1	0.4	8	1.66	0.09	0.38	0.12
0	0.1	1.6	8	0.01	0.1	0.07	0.09
5	0.1	1.6	8	0.84	0.08	0.67	0.08
15	0.1	1.6	8	1.53	0.14	1.1	0.09
30	0.1	1.6	8	2.25	0.23	1.67	0.07
45	0.1	1.6	8	2.6	0.21	1.95	0.08
60	0.1	1.6	8	2.68	0.26	1.75	0.19
75	0.1	1.6	8	2.76	0.11	1.15	0.21
90	0.1	1.6	8	2.74	0.09	0.77	0.21
105	0.1	1.6	8	2.74	0.22	0.63	0.13
120	0.1	1.6	8	2.74	0.22	0.35	0.15
0	0.1	3.2	8	0.01	0.07	0	0.09
5	0.1	3.2	8	0.5	0.05	0.38	0.03
15	0.1	3.2	8	1.2	0.12	0.77	0.12
30	0.1	3.2	8	1.84	0.11	1.25	0.11
45	0.1	3.2	8	2.34	0.15	1.52	0.12
60	0.1	3.2	8	2.59	0.15	1.86	0.08
75	0.1	3.2	8	3.04	0.11	2.23	0.04
90	0.1	3.2	8	3.15	0.11	2.37	0.1
105	0.1	3.2	8	3.28	0.05	2.52	0.09
120	0.1	3.2	8	3.37	0.12	2.5	0.1
0	0.1	4	8	0.01	0.09	0	1
5	0.1	4	8	0.3	0.11	0.21	0.08
15	0.1	4	8	0.77	0.1	0.48	0.12
30	0.1	4	8	1.25	0.1	0.84	0.07
45	0.1	4	8	1.64	0.26	1.04	0.1
60	0.1	4	8	2.09	0.21	1.48	0.33
75	0.1	4	8	2.36	0.09	1.67	0.15
90	0.1	4	8	2.58	0.23	1.75	0.09
105	0.1	4	8	2.73	0.23	2.06	0.08
120	0.1	4	8	2.7	0.26	1.91	0.21
0	0.1	0.8	2	-0.01	0.11	0.01	0.07
5	0.1	0.8	2	0.37	0.09	0.25	0.07
15	0.1	0.8	2	0.65	0.08	0.48	0.07
30	0.1	0.8	2	0.88	0.12	0.67	0.07
45	0.1	0.8	2	1.07	0.14	0.78	0.4
60	0.1	0.8	2	1.24	0.09	0.91	0.07
75	0.1	0.8	2	1.22	0.19	0.99	0.08
90	0.1	0.8	2	1.38	0.14	1.05	0.12
105	0.1	0.8	2	1.54	0.08	1.08	0.06
120	0.1	0.8	2	1.58	0.1	1.08	0.06
0	0.1	0.8	4	0	0.12	0.01	0.09
5	0.1	0.8	4	0.71	0.05	0.58	0.05
15	0.1	0.8	4	1.19	0.06	0.94	0.03
30	0.1	0.8	4	1.6	0.05	1.45	0.25
45	0.1	0.8	4	1.86	0.15	1.49	0.13
60	0.1	0.8	4	2.08	0.12	1.77	0.04
75	0.1	0.8	4	2.25	0.06	1.84	0.05
90	0.1	0.8	4	2.44	0.17	2.07	0.05
105	0.1	0.8	4	2.57	0.12	2.02	0.17
120	0.1	0.8	4	2.7	0.05	2.09	0.17
0	0.1	0.8	14	0	0.11	0.01	0.08
5	0.1	0.8	14	0.91	0.32	0.79	0.13
15	0.1	0.8	14	1.72	0.24	1.43	0.16
30	0.1	0.8	14	2.32	0.3	1.75	0.18
45	0.1	0.8	14	2.78	0.49	0.46	0.08
60	0.1	0.8	14	2.66	0.42	0.32	0.21
75	0.1	0.8	14	2.75	0.4	0.2	0.08
90	0.1	0.8	14	2.73	0.4	0.2	0.1
105	0.1	0.8	14	2.76	0.05	0.06	0.08
120	0.1	0.8	14	2.89	0.04	0.16	0.12
0	0.1	0.8	20	0.01	0.1	0.01	0.08
5	0.1	0.8	20	0.84	0.21	0.67	0.24
15	0.1	0.8	20	1.58	0.12	1.28	0.32
30	0.1	0.8	20	2.27	0.18	1.86	0.08
45	0.1	0.8	20	2.84	0.43	0.77	0.49
60	0.1	0.8	20	2.89	0.2	0.24	0.19
75	0.1	0.8	20	2.86	0.3	0.26	0.1
90	0.1	0.8	20	3.07	0.31	0.24	0.08
105	0.1	0.8	20	3.29	0.1	0.21	0.08
120	0.1	0.8	20	3.29	0.1	0.23	0.08
